35 68 1 0
30 34 3 0
18 68 2 0
30 58 2 0
69 7 4 0
14 27 2 0
3 29 4 0
40 69 2 0
37 17 3 0
13 42 3 0
23 35 3 0
51 49 2 0
29 37 3 0
5 29 5 0
36 47 1 0
25 2 5 0
40 56 1 0
8 27 5 0
51 43 4 0
16 13 1 0
6 9 3 0
9 28 3 0
35 38 1 0
38 9 1 0
11 47 3 0
38 57 3 0
31 25 4 0
30 30 2 0
16 34 4 0
6 63 6 0
24 42 0 0
12 53 3 0
40 66 3 0
22 46 1 0
16 21 1 0
6 32 3 0
9 10 3 0
29 32 4 0
22 54 4 0
53 3 0 0
28 44 1 0
29 22 2 0
14 35 2 0
23 34 2 0
28 42 0 0
37 52 5 0
5 11 1 0
19 39 3 0
6 39 3 0
57 43 3 0
23 56 4 0
15 29 3 0
29 38 5 0
14 58 2 0
51 63 2 0
11 51 1 0
26 47 7 0
29 56 2 0
5 41 2 0
31 30 3 0
51 13 3 0
36 59 3 0
28 46 4 0
25 8 2 0
13 49 0 0
23 30 1 0
32 13 2 0
21 43 4 0
20 36 2 0
20 65 5 0
49 8 4 0
24 52 1 0
29 2 3 0
46 10 1 0
21 54 2 0
38 22 1 0
12 45 0 0
46 53 2 0
35 30 5 0
44 31 4 0
32 54 4 0
12 45 3 0
16 26 2 0
22 16 2 0
47 60 3 0
23 4 1 0
17 38 2 0
10 64 6 0
31 44 3 0
47 36 3 0
8 45 1 0
12 63 1 0
39 36 4 0
3 60 2 0
1 44 4 0
24 49 2 0
28 0 3 0
45 11 4 0
29 48 1 0
38 24 3 0
