24 4 6
27 13 4
48 35 4
37 43 4
0 28 5
68 26 9
3 21 4
4 22 5
68 36 6
68 27 3
67 36 4
67 44 2
52 23 4
28 17 7
8 27 3
48 28 4
50 27 6
37 47 6
41 44 6
22 24 2
46 6 7
7 17 4
13 30 6
44 42 3
0 36 3
12 2 4
23 25 7
40 10 5
57 13 3
38 13 2
30 45 5
46 28 4
12 4 3
25 21 3
56 39 7
13 38 5
43 50 7
61 30 7
39 26 6
54 40 3
20 19 3
41 20 5
9 36 5
15 25 1
31 26 6
16 38 5
60 45 7
49 39 2
20 55 5
45 6 6
6 18 3
35 3 6
5 15 8
29 22 5
66 10 4
15 11 4
19 16 6
45 30 6
14 23 6
21 15 5
9 8 4
24 10 3
56 33 6
35 21 8
56 50 4
34 15 5
28 26 7
9 18 5
53 14 2
28 17 4
42 28 5
43 34 6
50 35 5
46 22 6
18 23 7
40 37 5
46 29 5
66 9 6
45 36 7
13 40 2
27 20 5
8 42 4
58 18 4
26 19 5
65 32 4
24 31 4
60 12 4
61 44 4
48 2 7
40 41 4
35 11 4
32 13 7
61 32 4
60 26 2
59 31 5
24 40 6
18 11 3
57 7 5
69 19 3
65 20 4
