46 45 3 15
55 36 4 12
75 53 4 9
51 33 7 23
45 66 5 15
35 47 5 26
53 4 3 19
70 27 6 60
73 56 3 32
76 58 3 7
57 21 3 19
62 67 3 26
48 65 5 39
47 14 3 33
85 7 2 49
67 26 4 16
70 19 4 34
60 54 5 17
48 34 4 44
44 44 5 33
49 58 2 26
72 0 4 5
20 20 2 15
63 50 4 34
51 58 5 34
51 31 3 49
39 1 5 39
34 3 4 26
46 62 5 7
62 47 3 8
54 29 6 13
45 34 5 43
59 14 5 5
39 42 5 36
47 8 4 0
39 57 4 20
69 29 5 2
72 55 3 26
29 30 5 4
78 38 5 5
31 34 6 17
22 56 5 32
32 7 1 16
38 6 4 10
53 56 2 23
62 5 5 23
26 34 4 46
46 35 5 12
37 26 6 23
99 25 3 38
71 54 5 35
59 37 7 10
71 15 4 31
58 67 2 22
68 1 4 15
58 27 2 5
79 22 6 40
47 0 3 3
39 48 6 22
26 12 5 5
26 69 4 19
54 29 5 34
25 24 4 42
47 30 7 41
69 18 6 7
34 18 5 38
69 28 4 26
25 31 5 7
37 52 4 13
73 61 4 46
68 48 4 36
54 12 2 28
73 63 4 37
53 22 6 41
26 50 1 9
58 3 4 33
49 36 6 47
41 6 5 4
53 57 6 47
67 4 4 28
30 59 7 20
48 62 6 55
46 66 5 17
52 65 2 15
54 31 5 28
72 52 7 39
72 28 3 2
61 58 8 40
79 6 1 33
51 53 6 8
42 44 5 48
33 1 5 9
45 24 7 23
66 59 5 32
43 1 7 0
53 58 4 12
60 14 4 25
34 43 4 21
49 8 4 34
36 28 5 36
