66 61 4 3
61 19 6 2
55 52 5 6
49 3 5 12
53 69 6 19
87 37 3 17
56 60 6 15
54 38 5 21
46 48 6 10
88 11 5 33
53 68 2 8
70 41 6 27
42 8 6 3
24 2 6 6
67 68 4 13
45 24 5 5
55 35 5 10
59 54 6 22
72 23 5 18
57 68 6 15
34 11 4 37
53 48 3 35
75 43 6 6
67 21 4 10
62 66 5 4
56 59 3 16
44 46 4 1
46 22 2 5
58 16 4 17
48 44 3 35
77 8 6 19
42 9 4 0
76 62 5 3
37 8 5 18
52 18 7 13
77 62 5 13
80 35 5 13
22 67 6 3
42 28 6 27
54 14 6 0
88 31 2 16
50 47 5 5
66 5 4 10
54 27 7 7
53 20 8 0
46 5 6 0
63 27 6 23
71 25 5 6
67 58 4 17
56 17 4 2
61 42 4 28
32 43 4 1
76 16 6 9
44 7 5 11
17 43 5 13
46 42 5 26
50 48 6 0
76 68 1 19
39 68 7 8
25 19 3 6
42 10 2 20
71 52 4 13
56 53 3 21
84 24 4 6
43 62 2 3
48 52 4 14
23 58 6 4
56 10 3 2
10 8 6 17
44 55 6 12
66 31 3 12
45 68 5 11
55 14 2 9
53 44 4 8
49 28 4 1
18 14 6 11
34 50 5 28
38 4 7 8
62 36 6 37
54 44 5 23
36 43 3 11
65 25 7 5
36 16 6 0
44 57 7 15
48 18 5 18
69 52 4 45
31 17 4 10
28 23 2 9
55 4 3 6
56 27 1 8
55 43 5 1
65 68 5 9
64 41 7 8
68 26 4 3
49 28 5 1
63 53 4 12
46 13 5 14
70 42 7 8
87 62 4 32
46 11 6 22
