50 66 7
69 67 6
20 52 6
5 76 7
31 77 8
55 37 8
27 81 6
15 60 9
54 80 7
48 34 7
27 53 9
52 72 8
20 54 7
10 61 9
54 76 7
47 45 3
14 54 6
9 73 6
36 78 6
32 72 7
51 74 5
27 91 9
41 54 4
42 59 8
31 57 8
37 91 9
12 80 9
45 62 7
8 59 7
23 92 8
46 58 8
17 85 8
15 67 9
24 96 8
27 80 5
41 87 8
19 56 7
7 39 8
36 62 8
8 69 8
38 43 8
17 58 8
1 81 6
43 82 6
47 60 8
14 52 8
34 47 8
40 58 7
52 35 4
30 56 7
11 55 6
63 92 9
66 64 5
41 85 7
22 68 6
53 73 6
67 56 9
30 66 8
65 61 6
14 49 9
20 62 7
12 50 8
7 45 4
15 57 9
19 48 7
30 94 8
31 55 5
41 81 8
47 62 8
30 92 7
20 72 6
6 33 8
0 72 7
10 82 6
7 75 1
20 57 4
8 72 9
45 76 7
47 51 6
22 62 8
20 50 8
0 60 6
19 76 7
5 58 7
41 74 7
32 98 5
49 91 7
53 76 9
58 74 8
25 94 5
1 38 9
10 66 7
48 86 8
42 43 7
67 54 5
50 91 9
59 85 8
35 67 5
0 73 9
25 80 7
